id,prophet_id,account_name,account_number,bank,created_at,updated_at
0c9fb46631d8469a,b8d461846822427b,Jane Johnson,2360405820,CIMB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
a1322f1085b545f8,c908f17da9f24764,Michael Lopez,98168964041,TTB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
8e681c0593374a8a,c908f17da9f24764,Emily Lopez,002105736224,KTB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
a1e9d798cfee4e73,c5b8cf4bb0794125,Charlie Garcia,102963720265,BAY,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
ce1e678ad95d4601,c5b8cf4bb0794125,Alice Johnson,25081801144,KBANK,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
104e9a8e8d5f43ee,21fbc96db8464314,Michael Davis,24186562163,TTB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
4a5d0d7ce679498e,21fbc96db8464314,Michael Brown,83129706413,BAAC,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
ba6194a83ba94a9b,25b6faee09fc4ba4,John Brown,73511563954,UOB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
909d32953ebd4ca5,b608fa9a8c224f0a,Michael Jones,33842722997,BAY,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
1a7878b594d94bc8,ebab2d69fa354667,Michael Garcia,22751516211,UOB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
45eecff523f44235,99a09e3eaf0744a7,Emma Garcia,41581293886,CIMB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
764256f3326f4094,b981ad245abe4d08,Alice Gonzalez,6542896269,SCB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
c965e8ee7bd040b0,b981ad245abe4d08,Daniel Davis,772079882799,KBANK,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
b5eacd406ecb4b21,f7a5200eaaa341cd,Olivia Martinez,826599811782,BBL,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
5021ff268e5c4e7c,f7a5200eaaa341cd,Olivia Jones,3623826883,CIMB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
11d6d94bcc7f4382,7048f52bd88b4591,Jane Williams,8998509853,CIMB,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
d4fec65aa2b24dcf,7048f52bd88b4591,Emily Davis,0000817784,BAY,2025-09-06T09:24:37.048280+00:00,2025-09-06T09:24:37.048280+00:00
